,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00.1,01:00.1,02:00.1,03:00.1,04:00.1,05:00.1,06:00.1,07:00.1,08:00.1,09:00.1,10:00.1,11:00.1,12:00.1,13:00.1,14:00.1,15:00.1,16:00.1,17:00.1,18:00.1,19:00.1,20:00.1,21:00.1,22:00.1,23:00.1,00:00.2,01:00.2,02:00.2,03:00.2,04:00.2,05:00.2,06:00.2,07:00.2,08:00.2,09:00.2,10:00.2,11:00.2,12:00.2,13:00.2,14:00.2,15:00.2,16:00.2,17:00.2,18:00.2,19:00.2,20:00.2,21:00.2,22:00.2,23:00.2,00:00.3,01:00.3,02:00.3,03:00.3,04:00.3,05:00.3,06:00.3,07:00.3,08:00.3,09:00.3,10:00.3,11:00.3,12:00.3,13:00.3,14:00.3,15:00.3,16:00.3,17:00.3,18:00.3,19:00.3,20:00.3,21:00.3,22:00.3,23:00.3,00:00.4,01:00.4,02:00.4,03:00.4,04:00.4,05:00.4,06:00.4,07:00.4,08:00.4,09:00.4,10:00.4,11:00.4,12:00.4,13:00.4,14:00.4,15:00.4,16:00.4,17:00.4,18:00.4,19:00.4,20:00.4,21:00.4,22:00.4,23:00.4
10,4126,135,258,816,602,465,6962,251,299,2538,345,865,224,23699,20138,33358,8707,10556,1501,25936,25566,5649,1337,12736,7156,358,129,564,70,1023,7654,166,688,9193,22599,10661,13589,6594,19429,2457,14024,20413,14965,16990,1878,4020,14042,8875,5602,3776,6986,3068,3241,133,531,99,525,465,332,460,10508,22161,19037,22120,22256,15443,18999,12969,42125,13922,20801,19810,20710,22698,22011,9838,8059,2806,3,681,30,54,560,94,8525,9620,10950,18801,32991,19049,27151,10302,10558,19820,20338,14386,20815,6183,4741,7025,3781,93,758,69,504,255,128,169,1598,442,431,540,9285,1309,5399,1169,1100,790,1128,10486
11,706,2978,662,47,383,643,4018,5668,4839,3091,2924,160,11322,13017,15998,14796,9576,22022,4951,11075,7570,17972,10805,2961,4333,703,69,1229,139,281,624,7836,6272,17960,63559,39144,25888,18139,26007,25199,11900,12857,18562,22021,17704,26985,9049,14428,14329,1855,328,1469,192,187,445,5183,3519,495,11500,16184,15619,23972,32067,20906,17926,29945,31161,12620,19275,8819,6856,7203,13297,2960,259,283,151,25,320,837,323,423,747,4857,14691,14543,33852,26616,22866,26834,16911,17396,11304,10413,16203,6666,17660,18226,15894,7376,1188,287,732,504,457,262,12729,10228,21545,29280,28797,15859,13325,4484,2764,24390,1771,2555,13449,7319
12,304,606,316,2275,4103,16187,14692,8681,1295,1176,42822,32274,38660,32159,22504,25932,28933,11738,26836,25244,25728,15069,22032,23155,28326,15073,11414,1765,3334,224,628,1652,949,18146,35359,24514,31924,21001,6392,18802,24402,23981,19184,19529,11421,11625,25050,16108,28654,8560,1684,275,828,599,513,2406,18800,4396,1873,14231,13285,11818,8106,1511,980,4176,17471,9815,13034,14342,9747,9559,18381,4994,8120,1167,760,518,1012,15150,34595,37874,37900,54389,25428,45129,19130,10615,11521,23124,27093,16086,27060,17593,9833,5042,16640,6209,1689,707,261,1823,6742,733,853,1309,34425,7537,18729,46483,31413,17952,17708,8970,24004,31084,17159,6829,8217,19785
13,112,340,10844,14721,8324,6310,26737,16852,5452,589,44674,8817,28728,7114,9597,2464,2015,0,2952,5207,3079,414,1256,71,9,1333,120,13948,142,4720,588,5906,1150,118,5793,4339,13382,15192,6786,3020,628,2021,2357,2013,42,74,3,1907,11683,3290,3153,628,24,1299,1407,13008,6397,10020,7935,3549,4931,672,2979,349,5799,263,2157,392,225,590,2286,76,9,123,646,14545,2966,2137,10621,5995,8013,4596,4567,6682,12992,4848,8084,5,3985,108,990,2904,2298,1036,693,1320,0,41,44,6763,6299,8807,2068,3313,1874,5628,8867,16673,8169,2342,10719,4608,0,5014,1618,3446,2456,24,128,1141
14,1078,224,1091,209,810,676,1440,43040,26806,12270,11314,13869,7454,9881,8068,14438,14989,10289,24621,12819,10560,14107,4088,8780,2232,129,976,447,552,702,896,32407,18209,10108,4413,11347,7404,4734,6437,10417,11456,15938,6558,11318,11697,6443,14545,208,546,535,323,110,176,994,3071,47195,11153,15614,9025,16237,12706,21765,65955,10250,15164,24228,13074,26538,10539,7196,18102,18334,7651,3973,352,58,1099,391,793,1207,533,1274,1156,263,19822,10975,10293,843,10030,4103,18871,11908,5881,3580,5009,7007,4111,516,645,222,339,512,295,774,588,555,2666,7992,10694,5160,7562,6269,15089,8037,8268,5930,2730,2225,9488,12955
15,185,65,233,435,34,110,97,516,17279,6196,57723,62498,38441,60094,61323,53911,35782,33634,23551,4969,23026,6671,3486,15264,130,248,0,2722,1169,432,504,151,7509,17929,25622,47395,25312,18483,27019,32690,20499,32796,90108,60539,14544,28487,2330,5159,12024,76,23,188,333,140,407,142,5212,26701,12662,9039,30960,33971,37344,48627,31155,6271,32291,20009,31785,6602,4134,12014,2082,90,152,20,91,302,1140,672,11438,18632,18588,33875,22216,37383,15325,33325,29037,22793,31081,30101,16960,8035,11441,10356,334,445,58,471,194,223,345,341,11570,16736,32063,37758,43196,41645,42448,18831,8412,21458,26523,19995,15189,14858,19084,19577
16,10407,813,383,897,581,314,604,383,30,1682,9668,7048,14043,8588,10495,10873,7506,10807,9489,3672,1875,4451,2211,3803,7483,3830,2523,532,1453,1468,47,690,9592,5980,4003,4089,2233,5266,5928,5570,4091,8048,2941,2119,8360,2500,2536,3904,11520,4333,2387,2091,555,1224,629,92,836,869,614,473,10796,5087,10193,10880,11261,1983,6783,5008,6383,6790,3142,2310,1990,15426,259,731,1079,739,364,410,114,235,1025,5274,5475,12145,9585,8816,2669,5105,7215,10942,4087,3854,6405,3529,3699,3785,3953,7978,603,3945,1898,4350,2331,12,238,6155,6446,6351,14998,5077,7037,6229,4872,5982,8377,9464,5870,1729
17,2732,5053,4862,4617,1969,633,2151,1670,2427,2457,190,97,2828,7979,2184,6694,3415,7698,4454,5123,4959,2672,95,4683,3553,6675,7158,1484,3449,1999,877,910,290,1359,72,1142,599,2984,7771,7187,8372,2939,378,5124,15194,5485,5107,6449,6904,6561,7749,1543,4001,3228,778,2695,5507,2919,3054,606,906,1542,387,6609,8486,7900,1195,5276,4906,6110,5508,9802,7844,6434,3215,7162,5041,4702,4215,1641,807,1508,4778,104,55,6580,6085,9654,8252,5194,3967,6442,4921,882,4085,7483,6688,6583,4563,5349,6930,5146,6021,3285,2197,1702,2366,3,10,1134,3760,8556,7317,6974,16569,5169,11954,5886,5613,3705
18,122,280,399,607,284,580,9617,8456,6791,6327,18615,21928,13581,19917,28442,19867,12910,7818,10029,9269,7009,7239,2955,5045,2144,3217,72,142,137,221,632,1699,361,803,15152,4499,4800,3618,13944,5144,6405,7960,8426,7931,645,4590,7348,1472,739,1202,550,278,517,582,323,448,464,9566,1496,2210,3035,875,15417,16823,8103,5610,12287,5234,3742,9330,12363,3855,2088,404,633,248,156,1341,482,1297,21991,7741,15844,27064,16696,21286,14394,16667,18808,20218,28120,11553,19384,49368,12155,3688,12646,22,489,1540,275,224,833,9664,11320,6090,13932,23939,21069,24837,17933,8975,1537,5417,26022,28412,28083,26713,12071,5420
19,0,0,69,163,535,340,518,260,2345,6019,9252,6748,14405,1704,16830,6879,2596,4825,13817,6908,1076,7168,793,31,7482,377,3,5,0,31,43,25,433,2994,7280,4577,10567,6819,3598,4883,5591,12713,9564,1189,737,5445,60,4607,0,0,22,108,0,16,1427,6910,12081,12008,9237,5170,7031,2317,2614,5624,4201,6616,9909,642,5118,6373,2259,2952,5227,0,1506,163,45,2279,361,674,2349,7918,2883,14597,14463,4467,3427,7309,9816,1800,11393,11966,11792,9969,2640,5465,10,439,520,895,312,173,1495,239,1186,8081,3317,0,375,1144,10,214,5712,35,124,4286,6551,3956,1689,5782
20,155,145,354,126,124,120,624,241,804,13,17876,26647,10151,2324,26545,458,296,396,721,10927,390,1838,3121,3720,9,46,123,204,129,276,327,52,572,214,7296,9182,5071,4961,21178,10780,331,1653,227,3520,3348,28,2268,4116,1716,30,137,121,298,167,518,14,544,273,426,233,5319,147,1292,4226,1051,9175,4387,2240,4091,884,633,2438,95,402,483,443,73,143,471,145,487,16483,18392,18479,7211,8907,6906,533,9480,578,7884,1849,14045,3929,5925,731,249,194,183,240,355,549,529,266,465,11104,10571,37775,7488,1620,3921,3431,7269,3887,9176,13606,8802,1541,8043,1254
21,804,1335,126,4253,1318,926,1901,4419,654,210,0,2044,13227,15406,19243,20727,19228,18710,11033,18247,15582,16356,9316,382,3339,2018,12,3420,1444,715,555,1763,12111,10165,15086,2942,13731,1888,17153,17792,10566,16412,13592,18898,11885,20049,12293,587,273,783,758,4933,1578,463,1080,9666,271,17545,25975,29706,18587,14441,21713,19102,17107,8285,18395,15050,12160,13519,7702,417,311,897,5477,351,1001,1140,271,3188,7737,17835,23850,18622,12037,19215,5600,12799,5293,1036,9169,3256,12340,5733,11582,1315,7664,1148,1009,3594,3266,756,1340,877,4328,5536,2961,5755,13775,10857,4969,31395,12186,659,2250,14028,9723,11131,10111,7245
22,511,2325,580,2808,0,1677,307,3043,1769,2015,15480,20108,26477,27766,42622,16658,388,562,24221,24274,12866,12158,7207,11124,13123,29212,1755,105,105,1656,5862,540,1293,255,29399,7254,96,7704,12176,11453,42389,3826,24669,13264,7408,22445,7088,14355,9079,375,1622,837,658,589,1515,1397,1123,217,1420,354,1237,9224,23813,16367,36789,5143,17162,24665,22670,23383,21540,9507,9930,59,194,1144,1083,479,570,706,20049,15445,1838,5873,10794,7342,9928,21946,23064,30501,20458,8158,10197,29094,22046,6797,2549,527,1215,590,1765,288,1418,293,910,7357,14304,15488,14406,6609,25706,11768,48617,32355,19139,16363,38124,26473,34408,3632
0,787,417,362,2021,622,290,1016,1597,4408,18645,26021,6717,24513,15965,9807,26062,7983,19517,36661,15938,11200,19040,11975,5654,2802,350,533,219,401,876,3535,43992,17417,17914,29587,11651,11967,13969,8465,9926,30126,6709,30339,17160,6961,15877,28717,15920,995,694,720,540,1411,439,1853,1012,14475,22548,9346,15412,23534,29277,18947,28337,20308,499,6604,8333,6311,10479,6708,15533,8784,705,511,481,2719,1474,989,736,5882,24654,22549,27057,28984,5467,15772,17130,5932,18338,21335,11040,11040,11040,11040,10856,20820,20820,20820,20820,20820,20820,20820,20820,20820,20820,20820,20820,28830,23945,28872,26487,12313,19446,12086,19747,26642,15170,21299,15111
1,19821,164,163,224,249,340,1434,35928,29828,18292,26171,19269,14603,20567,18790,42468,42303,12644,9198,15428,19415,15960,16701,10558,718,846,293,389,763,382,942,37739,35112,20515,28383,28877,35304,72229,81252,69280,30949,26594,43246,32643,31559,27110,36855,23637,567,383,678,680,900,738,645,9869,12283,17413,77211,75472,70830,72690,44501,38334,31001,28389,43180,38576,35389,30900,14622,13074,558,750,452,1374,519,279,1486,911,1123,6626,36857,34927,1739,262,41840,51947,45586,15657,10127,23855,17921,22484,6474,26973,1014,417,476,252,455,1101,3365,36825,30445,27289,31149,49290,37120,32736,35999,42185,48192,29526,35286,38182,45845,16405,6157,20314
2,0,0,0,0,0,0,0,0,0,14477,28371,24931,23245,18855,18167,27835,14354,5810,22867,22095,25577,11650,9294,7425,25040,3778,834,247,348,165,598,551,3917,21789,14753,29045,24547,26444,17220,25991,35842,20005,27247,20006,28122,13516,8734,11060,11439,1300,695,301,667,624,635,900,4028,15287,24695,41119,34103,33428,27245,26668,65015,24417,19659,25875,21626,25193,19652,7719,11618,836,493,596,989,761,302,958,4920,5905,18322,21791,31153,33704,25557,23668,35116,30471,33583,24654,23961,17441,13480,20387,664,833,641,320,638,578,21515,14205,19589,36425,38610,38478,34025,28503,20183,23958,37620,11237,35425,25469,17088,16938,19095,23054
3,324,1347,6075,1098,592,1804,2033,453,822,1002,21124,23978,26803,12794,24578,14515,18801,10116,5013,13454,26425,23871,16715,2167,737,1804,552,1313,1931,1148,494,940,989,736,15314,40742,9314,15247,23787,45314,41836,4530,8474,20067,14797,11932,23819,8745,10963,952,1579,683,499,775,1208,603,1329,2656,3444,36653,39878,42337,18969,15179,43750,14255,16611,22962,20233,16414,3966,18869,953,823,1450,3204,474,4962,930,911,583,1320,2599,45488,23890,48666,32296,34387,11077,15600,25576,8717,7145,11869,22798,6523,1376,815,1085,448,374,2336,720,1322,1081,1386,616,16644,26733,15280,9306,13594,6988,13307,9661,5993,29836,13109,7292,19011
4,324,326,1034,92,327,6107,42261,36681,19307,22059,29971,24933,23364,27720,24072,25939,21582,30911,11526,40735,52689,16615,24852,783,342,502,472,451,272,3978,45478,25084,28775,31296,32306,49497,29345,37303,43657,39481,20421,22820,37665,14836,18230,17546,4155,18804,413,42,170,214,548,1546,91,6782,39327,45328,54871,32366,29622,21076,19262,14257,16118,23098,17746,27016,16053,6942,16297,8,1170,942,900,1663,314,1807,503,894,6548,39630,51027,11562,22053,28399,30572,18399,24018,6300,12253,16054,36898,33596,15122,4104,1394,88,804,749,708,633,1676,37317,40626,55847,20130,38059,54466,44605,22928,32752,24534,13594,36068,18760,13910,8728,13190,726
5,4064,265,113,198,701,334,706,2300,28770,18972,54528,13420,38380,30268,16470,43664,25517,17048,15124,17203,56020,28938,32734,15901,734,49524,53122,38905,29750,19619,11037,43993,17681,25497,26180,17488,26897,24462,17287,23532,38272,14885,12203,22169,62690,37414,7234,262,454,392,600,1180,490,1314,1052,42007,54938,15313,20429,34214,22365,30485,89281,17023,12096,20935,52429,38811,38536,22787,26079,19508,12616,36573,16960,1247,225,233,625,1408,489,15135,30005,68081,61909,63073,65022,27368,21643,15251,23863,11760,20884,16816,34534,18470,30655,18571,3753,12788,0,1023,0,547,307,2700,19470,40505,41986,19635,24689,70274,27848,30178,22564,26211,6721,9949,29971,21806
6,43504,577,1258,1468,453,1932,1129,1657,3703,51484,72107,80940,65937,42088,59616,37019,28338,35513,14157,20276,21498,29806,19691,13091,6105,9902,1024,877,1285,1067,1642,57518,19254,34335,26769,19153,21094,9189,28852,23982,33638,20214,54203,60018,39103,28903,22433,54376,30503,339,845,1339,596,2465,1290,7034,65767,22183,26518,27296,31179,33945,19503,24139,71281,40961,14394,24429,18533,26189,8722,47294,44459,0,561,406,690,1435,812,9565,58971,21930,33531,52549,37804,51587,27275,36781,33218,69750,41551,52756,54559,32237,33919,35477,35523,27735,65911,0,1238,148,987,1124,1499,1154,3206,5689,52260,13866,13386,4313,35291,21179,18144,35932,17207,25397,33742,60006
7,2250,2637,8221,1076,1691,626,1265,21344,35969,38164,27076,30551,36974,39322,36323,28109,33642,34846,49955,11876,10302,38631,23577,21493,2890,686,2899,1117,134,831,43655,23378,35881,40002,29932,32093,43354,39264,29681,21812,28439,26586,24394,28149,28927,30297,30455,33868,5494,2616,623,3476,29293,57475,35426,35507,28841,31700,26937,25763,36370,38832,49817,12065,22838,47957,43610,25096,20110,16988,34009,31650,35129,8685,1118,507,793,1244,28098,28647,35271,55666,37224,31068,31775,40426,34109,37449,8001,31588,24936,16324,24989,48591,11897,62050,24773,2427,783,177,1236,924,4893,35658,48848,39146,36772,34105,33639,22752,33008,5803,28374,60981,28956,42025,23028,22457,3219,13862
8,376,396,418,420,420,420,596,420,420,420,420,420,1584,13760,16590,25854,246,1176,16087,13704,3392,2900,14816,9486,1749,1400,6088,82,281,298,309,1006,22331,5079,10476,16451,32071,21195,9022,21976,10921,12314,4964,13172,13641,18389,14193,2915,4398,601,19,206,47,330,19472,13256,12957,17795,14249,12363,5707,20617,18366,21024,28029,22137,24122,22857,16368,7292,2677,2334,3657,3014,1973,273,110,3752,566,57,176,561,4917,12132,12690,8848,3984,6518,20160,19053,11273,6428,2823,4475,2704,3340,4809,2116,303,44,998,358,103,963,3268,139,171,4766,14476,6480,26640,8482,28775,22192,12825,3403,7719,1791,3183,1570
9,245,275,666,592,528,338,782,421,562,947,3632,17027,39539,44044,23937,52405,23831,33020,37708,36301,35694,33266,10719,15070,394,454,279,456,1442,7864,40243,16063,46655,54975,44511,30624,46312,41775,33600,34065,5643,5186,8952,36720,29532,7278,12135,9902,163,1677,578,1121,362,7715,32037,14941,50472,42651,45332,21370,31117,40002,42644,15222,5650,126,8,0,0,0,0,0,36,96,159,174,180,180,180,180,180,180,180,180,180,180,185,15571,24239,22551,35507,33808,26147,10694,3726,2419,4145,14672,194,180,180,180,180,180,180,180,2638,12374,27015,18614,14897,6141,15505,29541,12982,9599,2807,4223,11073,52
10,3244,58,154,353,0,141,12249,28460,15602,22109,21206,13483,37382,21345,16862,19415,20680,1229,1460,12650,3493,10707,4526,3607,10331,2357,85,149,1438,343,20490,11270,10146,14913,25002,15603,8654,17635,7563,25314,91,0,23207,21952,5302,3010,6055,5037,4986,115,196,253,148,345,15880,36530,15594,26762,12033,22369,14413,12056,19853,56200,1623,19070,31797,7060,16681,14104,16977,2499,4906,1702,131,123,174,374,125,252,18,143,14613,17604,19461,23187,38006,19711,7497,11530,44640,9135,16342,12836,13088,6124,4323,5745,180,104,223,291,321,231,1273,1493,166,16599,31534,34264,37892,29970,16192,26442,7441,13947,2511,3316,4090,1672
11,2881,261,625,208,44,942,23825,14542,15416,12268,16617,27237,24557,14564,6500,19495,530,24311,522,7457,819,3389,10957,4166,115,405,369,200,743,180,22355,14088,13778,28885,41424,12020,27386,28917,11626,982,6901,8401,30773,15896,12527,10069,10971,6709,3849,173,270,309,1218,223,356,252,251,5561,18935,36670,18276,12488,15624,15582,19484,17515,22673,27706,12153,19193,6415,73,2472,23,76,260,1274,1549,13800,9251,8593,10088,25108,16637,19742,34652,24606,16928,31643,17941,15196,13838,9512,8296,2404,765,5787,534,28,308,377,157,508,14505,22364,15762,18854,9356,10635,13816,23329,8176,20555,13504,16837,3816,4729,3103,5869,3071
12,429,250,1799,498,893,6205,35263,26248,19721,30475,20539,18921,27636,25911,18584,26660,14675,17686,40415,22206,8316,7373,2448,6556,475,1085,0,543,1296,854,2791,347,6955,19781,17636,18133,16910,27472,29558,21548,15601,6055,39224,6285,7778,3207,23398,16819,793,1336,152,441,684,601,1387,5366,12949,17865,22703,13654,27257,21404,24928,33147,20235,12843,17186,24268,11411,11479,9197,4440,453,579,809,768,330,2390,1227,618,347,7159,29048,29506,14679,22635,25110,27857,9399,19444,4685,7977,5012,4464,6031,6397,1212,2242,716,520,1139,2091,809,1182,1630,17733,3473,11312,20504,17032,19408,20832,4787,5346,19622,17724,4793,5564,9328,458
13,3113,921,1231,425,1605,21080,52445,37364,58310,80610,80311,27816,70127,87431,29468,46175,18109,26292,38584,39306,13946,13876,12978,1293,662,545,426,1317,958,668,37976,33838,38438,64132,36781,40151,35489,31036,25014,37346,8335,6515,45585,44178,7278,13168,8391,25980,3935,929,1436,1702,1249,4277,57886,53297,44785,55186,26969,46747,44328,41915,37571,36911,2783,68088,34748,26385,35361,17742,23024,13849,16841,16168,25263,7625,2869,739,522,1207,1945,657,4923,4594,1868,61039,122698,66592,47754,47883,28507,17955,7139,6919,4964,8480,3595,14751,3473,853,1831,922,1786,1037,2703,1878,2833,23501,73011,69583,13637,17441,9514,14101,13349,14743,35030,6593,5630,21128
